Time_ID class xmean ymean xmin ymin xmax ymax img_width img_height img_depth
frame0459 bird 27.5 449.5 24 447 31 452 1920 1080 3
frame0460 bird 104.0 443.5 99 441 109 446 1920 1080 3
frame0461 bird 175.0 438.0 171 435 179 441 1920 1080 3
frame0462 bird 244.0 431.5 241 429 247 434 1920 1080 3
frame0463 bird 313.0 426.0 308 424 318 428 1920 1080 3
frame0464 bird 376.5 419.5 373 417 380 422 1920 1080 3
frame0465 bird 438.5 413.5 435 411 442 416 1920 1080 3
frame0466 bird 501.0 408.5 496 406 506 411 1920 1080 3
frame0467 bird 559.0 402.0 556 400 562 404 1920 1080 3
frame0468 bird 616.0 396.5 612 394 620 399 1920 1080 3
frame0469 bird 672.0 390.5 668 388 676 393 1920 1080 3
frame0470 bird 726.0 386.0 723 383 729 389 1920 1080 3
frame0471 bird 779.0 381.0 774 378 784 384 1920 1080 3
frame0472 bird 829.0 376.0 826 374 832 378 1920 1080 3
frame0473 bird 877.0 371.0 874 369 880 373 1920 1080 3
frame0474 bird 926.5 366.0 922 364 931 368 1920 1080 3
frame0475 bird 971.5 361.5 969 359 974 364 1920 1080 3
frame0476 bird 1015.5 357.5 1012 355 1019 360 1920 1080 3
frame0477 bird 1060.0 355.0 1056 353 1064 357 1920 1080 3
frame0478 bird 1101.0 351.5 1098 349 1104 354 1920 1080 3
frame0479 bird 1141.5 349.0 1137 347 1146 351 1920 1080 3
frame0480 bird 1180.0 347.0 1177 345 1183 349 1920 1080 3
frame0481 bird 1217.5 344.5 1215 343 1220 346 1920 1080 3
frame0482 bird 1255.5 342.5 1252 341 1259 344 1920 1080 3
frame0483 bird 1289.5 341.5 1287 340 1292 343 1920 1080 3
frame0484 bird 1323.0 341.5 1320 340 1326 343 1920 1080 3
frame0485 bird 1357.5 341.5 1355 340 1360 343 1920 1080 3
frame0486 bird 1390.5 341.0 1388 339 1393 343 1920 1080 3
frame0487 bird 1423.5 342.0 1420 341 1427 343 1920 1080 3
frame0488 bird 1455.5 342.0 1453 340 1458 344 1920 1080 3
frame0489 bird 1486.5 341.5 1484 340 1489 343 1920 1080 3
frame0490 bird 1519.0 342.5 1516 341 1522 344 1920 1080 3
frame0491 bird 1550.0 342.5 1548 341 1552 344 1920 1080 3
frame0492 bird 1581.0 343.0 1578 342 1584 344 1920 1080 3
frame0493 bird 1612.5 343.0 1610 342 1615 344 1920 1080 3
frame0494 bird 1643.0 343.0 1641 342 1645 344 1920 1080 3
frame0495 bird 1674.5 342.5 1673 342 1676 343 1920 1080 3
frame0496 bird 1703.0 341.5 1701 340 1705 343 1920 1080 3
frame0497 bird 1732.0 341.0 1729 340 1735 342 1920 1080 3
frame0498 bird 1761.5 340.0 1760 339 1763 341 1920 1080 3
frame0499 bird 1788.5 339.5 1787 338 1790 341 1920 1080 3
frame0500 bird 1817.5 338.5 1814 337 1821 340 1920 1080 3
frame0501 bird 1845.0 337.5 1843 336 1847 339 1920 1080 3
frame0502 bird 1871.0 336.5 1868 335 1874 338 1920 1080 3
frame0503 bird 1898.0 337.0 1896 336 1900 338 1920 1080 3
